"Source:","D:\Mis documentos\Documentos\GitHub\Easyrun\Circuit Design\Final Schematic\Easyrun.kicad_sch"
"Date:","14/05/2022 3:37:33 p. m."
"Tool:","Eeschema (6.0.1)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","76"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Comment","MANUFACTURER","MAXIMUM_PACKAGE_HEIGHT","STANDARD"
"","","U1","ESP32-WROOM-32","RF_Module:ESP32-WROOM-32","RF_Module:ESP32-WROOM-32","https://www.espressif.com/sites/default/files/documentation/esp32-wroom-32_datasheet_en.pdf","","","",""
"","","U_555","LM555xM","Timer:LM555xM","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","http://www.ti.com/lit/ds/symlink/lm555.pdf","","","",""
"","","U_ChargeControler1","TP4056","TP4056:TP4056","TP4056_Bcharge:SOP127P600X175-9N","https://www.sigmaelectronica.net/wp-content/uploads/2018/01/TP4056-lipo-charger.pdf","","NanJing Top Power ASIC Corp.","1.75mm","IPC 7351B"
"","","UB3v3","LM2576S-5","Regulator_Switching:LM2576S-5","Package_TO_SOT_SMD:TO-263-5_TabPin3","http://www.ti.com/lit/ds/symlink/lm2576.pdf","","","",""
"","","UB5v0","LM2576S-5","Regulator_Switching:LM2576S-5","Package_TO_SOT_SMD:TO-263-5_TabPin3","http://www.ti.com/lit/ds/symlink/lm2576.pdf","","","",""



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Comment","MANUFACTURER","MAXIMUM_PACKAGE_HEIGHT","STANDARD"
"1","1","BProg1","SW_DIP_x02","Switch:SW_DIP_x01","Button_Switch_SMD:SW_SPST_CK_RS282G05A3","~","","","",""
"2","1","BRst1","SW_DIP_x01","Switch:SW_DIP_x01","Button_Switch_SMD:SW_SPST_CK_RS282G05A3","~","","","",""
"3","2","BT1, BT2","Battery_Cell","Device:Battery_Cell","Battery:BatteryHolder_MPD_BH-18650-PC2","~","","","",""
"4","5","C1, C3, CB1, CB2, CB4","100nF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","",""
"5","2","C_by1, C_cv1","10n","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","",""
"6","1","C_by_2","C_Polarized","Device:C_Polarized","Capacitor_SMD:CP_Elec_6.3x5.8","~","","","",""
"7","2","CB3, CB5","22u","Device:C_Polarized","Capacitor_SMD:CP_Elec_6.3x5.8","~","","","",""
"8","2","CBat1, CByBa1","10u","Device:C_Polarized","Capacitor_SMD:CP_Elec_6.3x5.8","~","","","",""
"9","1","Cby2","0.1u","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","",""
"10","2","CBy3, CBy5","47u","Device:C_Polarized","Capacitor_Tantalum_SMD:CP_EIA-7343-43_Kemet-X_Pad2.25x2.55mm_HandSolder","~","","","",""
"11","1","Crec1","100u","Device:C_Polarized","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","~","","","",""
"12","9","D1, D2, D3, D4, D_S1, D_S2, DB3, DB5, DFly1","1N5822","Diode:1N5822","Diode_THT:D_DO-201AD_P15.24mm_Horizontal","http://www.vishay.com/docs/88526/1n5820.pdf","","","",""
"13","3","D_GREEN1, D_RED1, LProg1","LED","Device:LED","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","","",""
"14","1","DBoo1","1N5819","Diode:1N5819","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88525/1n5817.pdf","","","",""
"15","1","FB1","FerriteBead","Device:FerriteBead","Resistor_SMD:R_1812_4532Metric_Pad1.30x3.40mm_HandSolder","~","","","",""
"16","1","J_Display1","Conn_01x09","Connector_Generic:Conn_01x09","Connector_JST:JST_EH_S9B-EH_1x09_P2.50mm_Horizontal","~","","","",""
